time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1754	1.24225	5.122	0.17895	0.134925	radar	5.8036	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3977	1.32751	5.0791	0.199048	0.147577	lidar	2.17006	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6294	1.39207	4.85491	0.212118	0.153042	radar	3.31547	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8446	1.44663	4.81688	0.221466	0.154712	lidar	0.68314	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1148	1.50009	5.00735	0.226939	0.152421	radar	2.23929	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3949	1.5692	5.0764	0.236574	0.15413	lidar	2.06607	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6248	1.62359	4.97967	0.243521	0.153528	radar	0.505689	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8517	1.69915	4.96003	0.256643	0.158586	lidar	0.410764	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.113	1.78362	5.14173	0.269241	0.162706	radar	1.77545	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3547	1.83697	5.12476	0.272601	0.158347	lidar	0.21894	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6118	1.90418	5.23511	0.278485	0.156355	radar	0.498934	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8178	2.02667	5.17955	0.305262	0.173783	lidar	4.01718	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0898	2.13149	5.35952	0.31977	0.178861	radar	2.82435	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3004	2.26597	5.31067	0.347666	0.196196	lidar	3.61809	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.479	2.37811	4.94063	0.371379	0.209556	radar	12.1068	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7276	2.50649	4.99604	0.392244	0.218922	lidar	1.43313	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9492	2.6068	4.95889	0.405292	0.22089	radar	0.258548	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1793	2.76478	5.00385	0.434831	0.237464	lidar	1.90888	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4323	2.87815	5.20018	0.444869	0.235356	radar	1.03959	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
